label,precision,recall,f1
T-Shirt,0.8733401430030644,0.855,0.8640727640222334
Trouser,0.9869739478957916,0.985,0.985985985985986
Pullover,0.8821689259645464,0.846,0.8637059724349158
Dress,0.898635477582846,0.922,0.910167818361303
Coat,0.8712273641851107,0.866,0.8686058174523571
Sandal,0.9821605550049554,0.991,0.9865604778496765
Shirt,0.7292870905587668,0.757,0.7428851815505397
Sneaker,0.9608993157380255,0.983,0.9718240237271379
Bag,0.9819277108433735,0.978,0.9799599198396793
Ankle Boot,0.9826175869120655,0.961,0.9716885743174924
