label,precision,recall,f1
T-Shirt,0.7922998986828774,0.782,0.7871162556618017
Trouser,0.9815762538382804,0.959,0.9701568032372281
Pullover,0.7779056386651323,0.676,0.7233814874264313
Dress,0.8575697211155379,0.861,0.8592814371257484
Coat,0.7200720072007201,0.8,0.757934628138323
Sandal,0.9571129707112971,0.915,0.9355828220858896
Shirt,0.6089931573802542,0.623,0.615916955017301
Sneaker,0.8903345724907064,0.958,0.9229287090558767
Bag,0.8938223938223938,0.926,0.9096267190569745
Ankle Boot,0.9500520291363164,0.913,0.9311575726670066
