label,precision,recall,f1
T-Shirt,0.785,0.785,0.785
Trouser,0.9864724245577523,0.948,0.9668536460989291
Pullover,0.764102564102564,0.745,0.7544303797468355
Dress,0.8499515972894482,0.878,0.8637481554353172
Coat,0.7533980582524272,0.776,0.7645320197044335
Sandal,0.9447287615148413,0.923,0.9337379868487607
Shirt,0.6289825282631039,0.612,0.6203750633552965
Sneaker,0.8975332068311196,0.946,0.9211295034079844
Bag,0.892578125,0.914,0.9031620553359684
Ankle Boot,0.9455292908530318,0.92,0.9325899645210339
