label,precision,recall,f1
T-Shirt,0.8180904522613065,0.814,0.8160401002506266
Trouser,0.9876796714579056,0.962,0.9746707193515705
Pullover,0.8096172718351324,0.825,0.8172362555720654
Dress,0.8890030832476875,0.865,0.8768373035985808
Coat,0.811491935483871,0.805,0.8082329317269076
Sandal,0.9790794979079498,0.936,0.9570552147239264
Shirt,0.6618075801749271,0.681,0.6712666338097585
Sneaker,0.9133709981167608,0.97,0.9408341416100873
Bag,0.9209756097560976,0.944,0.9323456790123457
Ankle Boot,0.9558974358974359,0.932,0.9437974683544303
