label,precision,recall,f1
T-Shirt,0.8085106382978723,0.836,0.8220255653883972
Trouser,0.9877049180327869,0.964,0.9757085020242915
Pullover,0.8241106719367589,0.834,0.8290258449304175
Dress,0.9011815252416756,0.839,0.8689798032107716
Coat,0.8316929133858267,0.845,0.8382936507936508
Sandal,0.9653061224489796,0.946,0.9555555555555556
Shirt,0.6825396825396826,0.688,0.6852589641434262
Sneaker,0.9381044487427466,0.97,0.9537856440511308
Bag,0.9404296875,0.963,0.9515810276679841
Ankle Boot,0.966497461928934,0.952,0.9591939546599496
