label,precision,recall,f1
T-Shirt,0.9918032786885246,0.9877551020408163,0.9897750511247444
Trouser,0.9938488576449912,0.9964757709251101,0.9951605807303123
Pullover,0.9884281581485053,0.9932170542635659,0.9908168197196714
Dress,0.9891196834817013,0.9900990099009901,0.9896091044037605
Coat,0.9858442871587462,0.9928716904276986,0.989345509893455
Sandal,0.9899328859060402,0.992152466367713,0.9910414333706606
Shirt,0.9895068205666316,0.9843423799582464,0.9869178440607012
Sneaker,0.9855212355212355,0.9931906614785992,0.9893410852713178
Bag,0.9876923076923076,0.9887063655030801,0.9881990764494613
Ankle Boot,0.9919273461150353,0.9742319127849356,0.983
