label,precision,recall,f1
T-Shirt,0.8650963597430407,0.808,0.8355739400206825
Trouser,0.9908443540183113,0.974,0.9823499747856783
Pullover,0.8220603537981269,0.79,0.8057113717491076
Dress,0.8985943775100401,0.895,0.8967935871743486
Coat,0.7495755517826825,0.883,0.8108356290174472
Sandal,0.9877049180327869,0.964,0.9757085020242915
Shirt,0.7216828478964401,0.669,0.6943435391800726
Sneaker,0.9206349206349206,0.986,0.9521970062771608
Bag,0.9625246548323472,0.976,0.9692154915590864
Ankle Boot,0.975,0.936,0.9551020408163265
