label,precision,recall,f1
T-Shirt,0.8157644824311491,0.859,0.8368241597661958
Trouser,0.9877551020408163,0.968,0.9777777777777777
Pullover,0.7615894039735099,0.805,0.7826932425862907
Dress,0.8797595190380761,0.878,0.8788788788788788
Coat,0.7752380952380953,0.814,0.7941463414634147
Sandal,0.9831578947368421,0.934,0.9579487179487179
Shirt,0.7408759124087592,0.609,0.6684961580680571
Sneaker,0.9310679611650485,0.959,0.9448275862068966
Bag,0.9349904397705545,0.978,0.9560117302052786
Ankle Boot,0.9447731755424064,0.958,0.9513406156901688
