label,precision,recall,f1
T-Shirt,0.9691235059760956,0.9928571428571429,0.9808467741935484
Trouser,0.9911816578483245,0.9903083700440528,0.9907448215072719
Pullover,0.9882237487733072,0.9757751937984496,0.9819600195026816
Dress,0.983201581027668,0.9851485148514851,0.9841740850642928
Coat,0.9836734693877551,0.9816700610997964,0.9826707441386341
Sandal,0.987485779294653,0.9730941704035875,0.9802371541501976
Shirt,0.9711934156378601,0.9853862212943633,0.9782383419689119
Sneaker,0.9796511627906976,0.9834630350194552,0.9815533980582525
Bag,0.9704383282364933,0.9774127310061602,0.9739130434782609
Ankle Boot,0.9858156028368794,0.9643211100099108,0.9749498997995992
